Parasite.treatment,Compound.name,Concentration,Rep,Day,M0,Mf,N.mean,Dm.norm
Parasite,Carvacrol,Low,1,1,6.99,6.87,12,0.005208333333333333
Parasite,Carvacrol,Low,1,2,6.87,6.62,12,0.017083333333333357
Parasite,Carvacrol,Low,1,3,6.62,6.33,12,0.02166666666666665
Parasite,Carvacrol,Low,1,4,6.33,6.08,12,0.018958333333333317
Parasite,Carvacrol,Low,1,5,6.08,5.76,12,0.02500000000000004
Parasite,Carvacrol,Low,1,6,5.76,5.38,12,0.028124999999999973
Parasite,Carvacrol,Low,1,9,6.84,6.72,5,0.016500000000000004
Parasite,Carvacrol,Low,1,10,6.72,6.58,5,0.020999999999999908
Parasite,Carvacrol,Low,1,11,6.58,6.44,5,0.022499999999999964
Parasite,Carvacrol,Low,1,12,6.44,6.23,5,0.03700000000000001
Parasite,Carvacrol,Low,1,13,6.23,6.07,5,0.027000000000000045
Parasite,Carvacrol,Low,2,1,7.05,6.72,9,0.030277777777777775
Parasite,Carvacrol,Low,2,2,6.72,6.54,9,0.015000000000000001
Parasite,Carvacrol,Low,2,3,6.54,6.27,9,0.02666666666666669
Parasite,Carvacrol,Low,2,4,6.27,5.96,9,0.03194444444444438
Parasite,Carvacrol,Low,2,5,5.96,5.82,9,0.01333333333333332
Parasite,Carvacrol,Low,2,6,5.82,5.53,9,0.027499999999999983
Parasite,Carvacrol,High,3,1,7.04,6.83,11,0.01386363636363635
Parasite,Carvacrol,High,3,2,6.83,6.7,8,0.010625000000000023
Parasite,Carvacrol,High,3,3,6.7,6.57,8,0.012499999999999956
Parasite,Carvacrol,High,3,4,6.57,6.36,8,0.023437499999999972
Parasite,Carvacrol,High,3,5,6.36,6.24,7.5,0.013333333333333374
Parasite,Carvacrol,High,3,6,6.24,6.1,7,0.013928571428571481
Parasite,Carvacrol,Low,3,1,6.98,6.69,13.5,0.01722222222222222
Parasite,Carvacrol,Low,3,2,6.69,6.45,13,0.01500000000000004
Parasite,Carvacrol,Low,3,3,6.45,6.13,13,0.02230769230769231
Parasite,Carvacrol,Low,3,4,6.13,5.97,13,0.010576923076923074
Parasite,Carvacrol,Low,3,5,5.97,5.7,13,0.019230769230769214
Parasite,Carvacrol,Low,3,6,5.7,5.43,13,0.01750000000000002
Parasite,Carvacrol,Low,3,9,6.94,6.8,6,0.017083333333333412
Parasite,Carvacrol,Low,3,10,6.8,6.64,6,0.020833333333333332
Parasite,Carvacrol,Low,3,11,6.64,6.47,6,0.02375000000000001
Parasite,Carvacrol,Low,3,12,6.47,6.25,6,0.03249999999999997
Parasite,Carvacrol,Low,3,13,6.25,6.1,6,0.02083333333333341
Parasite,Carvacrol,High,4,1,7.12,6.85,13,0.016346153846153875
Parasite,Carvacrol,High,4,2,6.85,6.7,12,0.00874999999999998
Parasite,Carvacrol,High,4,3,6.7,6.43,12,0.020000000000000018
Parasite,Carvacrol,High,4,4,6.43,6.19,12,0.01812499999999993
Parasite,Carvacrol,High,4,5,6.19,5.86,12,0.025833333333333357
Parasite,Carvacrol,High,4,6,5.86,5.54,11,0.025227272727272734
Parasite,Carvacrol,Low,4,1,6.95,6.68,14,0.015178571428571454
Parasite,Carvacrol,Low,4,2,6.68,6.37,14,0.018928571428571423
Parasite,Carvacrol,Low,4,3,6.37,6.08,14,0.018571428571428555
Parasite,Carvacrol,Low,4,4,6.08,5.83,14,0.016249999999999987
Parasite,Carvacrol,Low,4,5,5.83,5.42,14,0.027857142857142882
Parasite,Carvacrol,Low,4,6,5.42,4.95,14,0.030535714285714253
Parasite,Carvacrol,Low,4,9,6.79,6.65,7,0.014642857142857084
Parasite,Carvacrol,Low,4,10,6.65,6.48,7,0.019285714285714257
Parasite,Carvacrol,Low,4,11,6.48,6.31,7,0.020357142857142994
Parasite,Carvacrol,Low,4,12,6.31,6.1,7,0.026428571428571437
Parasite,Carvacrol,Low,4,13,6.1,5.87,6.5,0.03153846153846148
Parasite,Carvacrol,High,5,1,7.15,6.97,9.5,0.012894736842105315
Parasite,Carvacrol,High,5,2,6.97,6.78,9,0.01611111111111109
Parasite,Carvacrol,High,5,3,6.78,6.58,9,0.018888888888888882
Parasite,Carvacrol,High,5,4,6.58,6.38,9,0.01972222222222222
Parasite,Carvacrol,High,5,5,6.38,6.24,9,0.01333333333333332
Parasite,Carvacrol,High,5,6,6.24,5.93,9,0.029722222222222254
Parasite,Carvacrol,Low,5,1,7.08,6.77,13,0.019423076923076953
Parasite,Carvacrol,Low,5,2,6.77,6.46,13,0.020384615384615376
Parasite,Carvacrol,Low,5,3,6.46,6.18,13,0.019230769230769232
Parasite,Carvacrol,Low,5,4,6.18,5.92,12.5,0.01899999999999997
Parasite,Carvacrol,Low,5,5,5.92,5.38,12,0.043333333333333356
Parasite,Carvacrol,Low,5,6,5.38,5.07,12,0.022291666666666616
Parasite,Carvacrol,High,6,1,7.01,6.72,9,0.025833333333333326
Parasite,Carvacrol,High,6,2,6.72,6.63,9,0.005000000000000017
Parasite,Carvacrol,High,6,3,6.63,6.38,8.5,0.02588235294117644
Parasite,Carvacrol,High,6,4,6.38,6.09,8,0.03343749999999998
Parasite,Carvacrol,High,6,5,6.09,5.99,8,0.009999999999999981
Parasite,Carvacrol,High,6,6,5.99,5.68,8,0.03343750000000004
Parasite,Carvacrol,Low,6,1,6.86,6.5,14,0.021607142857142873
Parasite,Carvacrol,Low,6,2,6.5,6.17,14,0.020357142857142883
Parasite,Carvacrol,Low,6,3,6.17,5.69,14,0.03214285714285709
Parasite,Carvacrol,Low,6,4,5.69,5.44,14,0.016249999999999987
Parasite,Carvacrol,Low,6,5,5.44,5.05,14,0.026428571428571485
Parasite,Carvacrol,Low,6,6,5.05,4.7,14,0.021964285714285676
Parasite,Carvacrol,Low,6,9,6.93,6.73,7,0.0232142857142856
Parasite,Carvacrol,Low,6,10,6.73,6.59,7,0.01500000000000006
Parasite,Carvacrol,Low,6,11,6.59,6.35,6.5,0.03269230769230775
Parasite,Carvacrol,Low,6,12,6.35,6.27,6,0.009166666666666693
Parasite,Carvacrol,High,1,1,7.09,6.86,10.5,0.016428571428571376
Parasite,Carvacrol,High,1,2,6.86,6.73,10,0.008500000000000018
Parasite,Carvacrol,High,1,3,6.73,6.63,10,0.007000000000000029
Parasite,Carvacrol,High,1,4,6.63,6.43,10,0.01775
Parasite,Carvacrol,High,1,5,6.43,6.3,10,0.01100000000000001
Parasite,Carvacrol,High,1,6,6.3,6.1,10,0.015749999999999997
Parasite,Eugenol,High,1,1,6.72,6.45,14,0.01517857142857139
Parasite,Eugenol,High,1,2,6.45,6.16,14,0.017500000000000022
Parasite,Eugenol,High,1,3,6.16,5.81,14,0.022857142857142878
Parasite,Eugenol,High,1,4,5.81,5.53,14,0.018392857142857082
Parasite,Eugenol,High,1,5,5.53,5.2,13,0.023846153846153868
Parasite,Eugenol,High,1,6,5.2,4.94,11.5,0.018913043478260835
Parasite,Eugenol,Low,1,1,6.74,6.45,12.5,0.018599999999999995
Parasite,Eugenol,Low,1,2,6.45,6.21,12,0.016250000000000042
Parasite,Eugenol,Low,1,3,6.21,5.9,12,0.02333333333333328
Parasite,Eugenol,Low,1,4,5.9,5.4,12,0.03979166666666665
Parasite,Eugenol,Low,1,5,5.4,5.14,12,0.020000000000000073
Parasite,Eugenol,Low,1,6,5.14,4.81,11.5,0.024999999999999988
Parasite,Eugenol,High,2,1,6.64,6.33,13,0.019423076923076883
Parasite,Eugenol,High,2,2,6.33,6.09,13,0.01500000000000004
Parasite,Eugenol,High,2,3,6.09,5.86,13,0.01538461538461533
Parasite,Eugenol,High,2,4,5.86,5.6,13,0.01826923076923081
Parasite,Eugenol,High,2,5,5.6,5.23,13,0.02692307692307688
Parasite,Eugenol,High,2,6,5.23,4.92,12.5,0.021400000000000023
Parasite,Eugenol,High,2,9,6.96,6.9,5,0.004499999999999904
Parasite,Eugenol,High,2,10,6.9,6.74,5,0.025
Parasite,Eugenol,Low,2,1,6.68,6.33,14,0.02089285714285711
Parasite,Eugenol,Low,2,2,6.33,5.97,14,0.022500000000000044
Parasite,Eugenol,Low,2,3,5.97,5.54,13,0.03076923076923073
Parasite,Eugenol,Low,2,4,5.54,5.2,11,0.028863636363636334
Parasite,Eugenol,Low,2,5,5.2,4.98,9,0.022222222222222216
Parasite,Eugenol,Low,2,6,4.98,4.84,8,0.012187500000000046
Parasite,Eugenol,High,3,1,6.88,6.59,13,0.01788461538461538
Parasite,Eugenol,High,3,2,6.59,6.43,13,0.00884615384615388
Parasite,Eugenol,High,3,3,6.43,6.2,13,0.01538461538461533
Parasite,Eugenol,High,3,4,6.2,5.91,13,0.020576923076923066
Parasite,Eugenol,High,3,5,5.91,5.69,13,0.015384615384615382
Parasite,Eugenol,High,3,6,5.69,5.42,13,0.01750000000000002
Parasite,Eugenol,High,3,9,6.98,6.83,6,0.018750000000000044
Parasite,Eugenol,High,3,10,6.83,6.7,5,0.01899999999999995
Parasite,Eugenol,Low,3,1,6.66,6.35,14,0.018035714285714315
Parasite,Eugenol,Low,3,2,6.35,6.15,14,0.011071428571428541
Parasite,Eugenol,Low,3,3,6.15,5.79,14,0.023571428571428577
Parasite,Eugenol,Low,3,4,5.79,5.43,14,0.024107142857142865
Parasite,Eugenol,Low,3,5,5.43,5.04,14,0.02642857142857142
Parasite,Eugenol,Low,3,6,5.04,4.67,14,0.023392857142857135
Parasite,Eugenol,Low,3,9,6.73,6.47,6,0.03708333333333343
Parasite,Eugenol,Low,3,10,6.47,6.21,6,0.03749999999999994
Parasite,Eugenol,Low,3,11,6.21,6.01,5.5,0.03136363636363642
Parasite,Eugenol,Low,3,12,6.01,5.77,5,0.04300000000000006
Parasite,Eugenol,High,4,1,6.71,6.44,13,0.016346153846153805
Parasite,Eugenol,High,4,2,6.44,6.24,13,0.01192307692307696
Parasite,Eugenol,High,4,3,6.24,6.02,13,0.014615384615384645
Parasite,Eugenol,High,4,4,6.02,5.84,13,0.01211538461538458
Parasite,Eugenol,High,4,5,5.84,5.56,13,0.020000000000000035
Parasite,Eugenol,High,4,6,5.56,5.29,13,0.017499999999999953
Parasite,Eugenol,Low,4,1,6.97,6.81,10,0.010250000000000004
Parasite,Eugenol,Low,4,2,6.81,6.64,10,0.012500000000000022
Parasite,Eugenol,Low,4,3,6.64,6.3,10,0.03099999999999996
Parasite,Eugenol,Low,4,4,6.3,5.99,9.5,0.03026315789473678
Parasite,Eugenol,Low,4,5,5.99,5.72,9,0.027777777777777853
Parasite,Eugenol,Low,4,6,5.72,5.48,9,0.021944444444444346
Parasite,Eugenol,High,5,1,6.6,6.32,13.5,0.016481481481481427
Parasite,Eugenol,High,5,2,6.32,6.07,13,0.015769230769230792
Parasite,Eugenol,High,5,3,6.07,5.72,13,0.024615384615384636
