Parasite,Compound,Conc,Rep,Day,M0,Mf,Nf,Dm,N.mean,Dm.norm
P,C,L,1,1,6.99,6.87,12,0.0625,12,0.005208333333333333
P,C,L,1,2,6.87,6.62,12,0.2050000000000003,12,0.017083333333333357
P,C,L,1,3,6.62,6.33,12,0.2599999999999998,12,0.02166666666666665
P,C,L,1,4,6.33,6.08,12,0.2274999999999998,12,0.018958333333333317
P,C,L,1,5,6.08,5.76,12,0.3000000000000005,12,0.02500000000000004
P,C,L,1,6,5.76,5.38,12,0.3374999999999997,12,0.028124999999999973
P,C,L,1,9,6.84,6.72,5,0.08250000000000002,5,0.016500000000000004
P,C,L,1,10,6.72,6.58,5,0.10499999999999954,5,0.020999999999999908
P,C,L,1,11,6.58,6.44,5,0.11249999999999982,5,0.022499999999999964
P,C,L,1,12,6.44,6.23,5,0.18500000000000005,5,0.03700000000000001
P,C,L,1,13,6.23,6.07,5,0.13500000000000023,5,0.027000000000000045
P,C,L,2,1,7.05,6.72,9,0.27249999999999996,9,0.030277777777777775
P,C,L,2,2,6.72,6.54,9,0.135,9,0.015000000000000001
P,C,L,2,3,6.54,6.27,9,0.2400000000000002,9,0.02666666666666669
P,C,L,2,4,6.27,5.96,9,0.2874999999999994,9,0.03194444444444438
P,C,L,2,5,5.96,5.82,9,0.11999999999999988,9,0.01333333333333332
P,C,L,2,6,5.82,5.53,9,0.24749999999999983,9,0.027499999999999983
P,C,H,3,1,7.04,6.83,8,0.15249999999999986,11,0.01386363636363635
P,C,H,3,2,6.83,6.7,8,0.08500000000000019,8,0.010625000000000023
P,C,H,3,3,6.7,6.57,8,0.09999999999999964,8,0.012499999999999956
P,C,H,3,4,6.57,6.36,8,0.18749999999999978,8,0.023437499999999972
P,C,H,3,5,6.36,6.24,7,0.10000000000000031,7.5,0.013333333333333374
P,C,H,3,6,6.24,6.1,7,0.09750000000000036,7,0.013928571428571481
P,C,L,3,1,6.98,6.69,13,0.23249999999999993,13.5,0.01722222222222222
P,C,L,3,2,6.69,6.45,13,0.1950000000000005,13,0.01500000000000004
P,C,L,3,3,6.45,6.13,13,0.29000000000000004,13,0.02230769230769231
P,C,L,3,4,6.13,5.97,13,0.13749999999999996,13,0.010576923076923074
P,C,L,3,5,5.97,5.7,13,0.24999999999999978,13,0.019230769230769214
P,C,L,3,6,5.7,5.43,13,0.22750000000000026,13,0.01750000000000002
P,C,L,3,9,6.94,6.8,6,0.10250000000000048,6,0.017083333333333412
P,C,L,3,10,6.8,6.64,6,0.125,6,0.020833333333333332
P,C,L,3,11,6.64,6.47,6,0.14250000000000007,6,0.02375000000000001
P,C,L,3,12,6.47,6.25,6,0.19499999999999984,6,0.03249999999999997
P,C,L,3,13,6.25,6.1,6,0.12500000000000044,6,0.02083333333333341
P,C,H,4,1,7.12,6.85,12,0.21250000000000036,13,0.016346153846153875
P,C,H,4,2,6.85,6.7,12,0.10499999999999976,12,0.00874999999999998
P,C,H,4,3,6.7,6.43,12,0.2400000000000002,12,0.020000000000000018
P,C,H,4,4,6.43,6.19,12,0.21749999999999914,12,0.01812499999999993
P,C,H,4,5,6.19,5.86,12,0.3100000000000003,12,0.025833333333333357
P,C,H,4,6,5.86,5.54,10,0.2775000000000001,11,0.025227272727272734
P,C,L,4,1,6.95,6.68,14,0.21250000000000036,14,0.015178571428571454
P,C,L,4,2,6.68,6.37,14,0.2649999999999999,14,0.018928571428571423
P,C,L,4,3,6.37,6.08,14,0.2599999999999998,14,0.018571428571428555
P,C,L,4,4,6.08,5.83,14,0.2274999999999998,14,0.016249999999999987
P,C,L,4,5,5.83,5.42,14,0.39000000000000035,14,0.027857142857142882
P,C,L,4,6,5.42,4.95,14,0.42749999999999955,14,0.030535714285714253
P,C,L,4,9,6.79,6.65,7,0.10249999999999959,7,0.014642857142857084
P,C,L,4,10,6.65,6.48,7,0.1349999999999998,7,0.019285714285714257
P,C,L,4,11,6.48,6.31,7,0.14250000000000096,7,0.020357142857142994
P,C,L,4,12,6.31,6.1,7,0.18500000000000005,7,0.026428571428571437
P,C,L,4,13,6.1,5.87,6,0.20499999999999963,6.5,0.03153846153846148
P,C,H,5,1,7.15,6.97,9,0.1225000000000005,9.5,0.012894736842105315
P,C,H,5,2,6.97,6.78,9,0.1449999999999998,9,0.01611111111111109
P,C,H,5,3,6.78,6.58,9,0.16999999999999993,9,0.018888888888888882
