contrast,estimate,SE,df,t.ratio,p.value
(C-H) - (E-L),-0.006982240384210213,0.0023973083134373368,59.21004181810116,-2.912533337941358,0.12506920237280572
(0-S) - (N-H),0.006316768943987926,0.0021524080116315713,45.32122296167275,2.934745136541134,0.12562480503118933
(E-L) - (N-H),0.006430533012082555,0.0021992697860397444,49.644925956837504,2.923940051785145,0.12613254319556821
(0-S) - (C-H),0.006868476316115584,0.0023632912776487005,55.822605522202586,2.9063181424463296,0.12819784216751784
(E-L) - (T-L),0.006266390300610719,0.002217272951205774,51.14607475401341,2.826170001849793,0.15509109892654138
(0-S) - (T-L),0.006152626232516091,0.0021724992821728897,46.88770823714839,2.8320498344940113,0.1555251229428647
(E-H) - (E-L),-0.005989356690576668,0.002217687554346502,51.62975355147249,-2.7007216047355165,0.20061146955971954
(0-S) - (E-H),0.0058755926224820405,0.0021744664307711222,47.53017201308446,2.7020847686291494,0.20227825945237932
(E-L) - (N-L),0.0043057276692496415,0.0021709218399228133,47.19009101250229,1.9833637444094858,0.6142874717435479
(0-S) - (N-L),0.004191963601155014,0.0021184279809898783,42.57433865212796,1.9788086443213586,0.6176436108483713
(0-P) - (C-H),0.00435482334049018,0.002346115068291582,54.40350952305916,1.856184890224212,0.6971799798857965
(0-P) - (N-H),0.0038031159683625227,0.002128168608923389,43.476420980493934,1.7870369633383825,0.7393429455103813
(0-P) - (T-L),0.003638973256890687,0.00214943218807723,45.07466925240842,1.6929928178594564,0.7934410358014913
(C-L) - (E-L),-0.0035264572063921523,0.002173291995898179,47.435899844429265,-1.6226338720466031,0.8304513611603433
(0-S) - (C-L),0.003412693138297524,0.00212175026969256,42.885810841166695,1.6084329937622777,0.8367455551811358
(0-P) - (E-H),0.0033619396468566364,0.0021522367731192735,45.78626525601555,1.562067746841868,0.8588855988065749
(C-H) - (T-H),-0.0036671457152795024,0.002424752004634382,62.60081305571334,-1.5123797024481502,0.8821334605102515
(C-H) - (C-L),-0.0034557831778180602,0.002351106580063038,54.69727869298539,-1.469853900764211,0.8980149144303382
(E-L) - (T-H),0.0033150946689307105,0.0022632498059876067,56.75125928190098,1.4647497859760619,0.9001191797260268
(0-S) - (T-H),0.003201330600836082,0.002226038802994963,52.99649945663376,1.4381288396810241,0.9092540029864336
(N-H) - (T-H),-0.0031154383431518445,0.002235511992075377,53.78763286362413,-1.3936128968199237,0.9239428565236016
(C-L) - (N-H),0.0029040758056904027,0.0021343368414285377,43.8080955660746,1.3606454938699692,0.9325549913023736
(T-H) - (T-L),0.002951295631680009,0.002252070704889648,55.237343464851605,1.310480894437381,0.9469883531930706
(C-L) - (T-L),0.002739933094218567,0.002155383686626256,45.40284450255586,1.271204338800246,0.9550688103768048
(0-P) - (E-L),-0.0026274170437200323,0.002167484770934412,47.10446712256924,-1.2121963111128764,0.9666928194432549
(0-P) - (0-S),-0.002513652975625404,0.002115454072146304,42.55291806780514,-1.1882333011725914,0.9702914563566052
(E-H) - (T-H),-0.0026742620216459586,0.0022515906842234534,55.617611685916266,-1.1877212143326483,0.9712974538808288
(C-L) - (E-H),0.0024628994841845164,0.0021581834232920856,46.118660072624216,1.1411909931305182,0.9773825254925276
(C-H) - (N-L),-0.0026765127149605706,0.00234952237592151,54.519734580111205,-1.1391731112630121,0.9781081101633942
(N-H) - (N-L),-0.0021248053428329135,0.0021312002481766058,43.50608111101434,-0.9969993878570709,0.990938909579592
(N-L) - (T-L),0.0019606626313610773,0.0021524815089694776,45.10955129897735,0.9108847733143893,0.9953149611187884
(0-P) - (N-L),0.0016783106255296094,0.0020910631952928893,40.60069477162658,0.8026111450421914,0.9981546400325525
(E-H) - (N-L),-0.001683629021327027,0.0021556070998764686,45.857976556537906,-0.7810463332689481,0.998545208862399
(N-L) - (T-H),-9.906330003189314e-4,0.002210802792950899,51.54522699527497,-0.44808745650111587,0.9999855369297186
(0-P) - (C-L),8.990401626721198e-4,0.00209490874286705,40.9401880961998,0.4291548095988714,0.9999893665076622
(C-H) - (E-H),-9.928836936335438e-4,0.002386596654538071,58.186499328392166,-0.4160249247586907,0.9999925866952407
(C-L) - (N-L),7.792704628574895e-4,0.0020976026965422922,40.9324231022001,0.37150527320643045,0.9999969490823676
(0-P) - (T-H),6.87677625210678e-4,0.0022071443954344216,51.417420336642124,0.31156893342962533,0.9999993875251719
(C-H) - (T-L),-7.158500835994933e-4,0.0023871226987475388,57.84226372153,-0.2998798863481468,0.999999575306777
(C-H) - (N-H),-5.517073721276575e-4,0.002371949569659267,56.53487646039581,-0.2325965860256088,0.9999999549738448
(E-H) - (N-H),4.411763215058863e-4,0.002185278799831747,48.38083433749054,0.20188559992429989,0.9999999866926759
(E-H) - (T-L),2.770336100340505e-4,0.002203823393244302,49.89846970999172,0.125705903151442,0.9999999998094722
(C-L) - (T-H),-2.1136253746144187e-4,0.002212590709262085,51.744600197419004,-0.0955271739037234,0.9999999999840037
(N-H) - (T-L),-1.641427114718358e-4,0.0021835822603910046,47.76044203275606,-0.07517129739020846,0.9999999999981879
(0-S) - (E-L),-1.1376406809462817e-4,0.002188819371946879,48.8086325949278,-0.05197508280157397,1
