"Bee_ID","Compound.name","Concentration","Cage","Copies.median_Lotmaria","Copies.median_Actin"
"P_C_L_1_3","Carvacrol","Low","C_L_1",217957.23387832398,197296.7576223608
"P_C_L_1_4","Carvacrol","Low","C_L_1",1237.290565542338,534230.859373264
"P_C_L_1_5","Carvacrol","Low","C_L_1",92686.6590425124,524878.6636737781
"P_C_L_1_6","Carvacrol","Low","C_L_1",2321750.2924282197,381845.338021234
"P_C_L_1_7","Carvacrol","Low","C_L_1",291750.41492648603,1440290.90729607
"P_C_L_1_8","Carvacrol","Low","C_L_1",346362.76316867,294380.980821244
"P_C_L_1_9","Carvacrol","Low","C_L_1",675246.084003762,542679.210607244
"P_C_L_2_6","Carvacrol","Low","C_L_2",47555.6136404694,979543.284141762
"P_C_L_2_7","Carvacrol","Low","C_L_2",5213420.57853996,452490.57267793396
"P_C_L_2_8","Carvacrol","Low","C_L_2",578540.659132488,1274012.157982666
"P_C_L_2_9","Carvacrol","Low","C_L_2",176676.205396694,557937.377896262
"P_C_L_2_11","Carvacrol","Low","C_L_2",3720.3937090972,1822246.859506746
"P_C_L_2_10","Carvacrol","Low","C_L_2",37300.8504971118,1301895.525742688
"P_C_L_3_3","Carvacrol","Low","C_L_3",4707053.55932372,2479853.16658162
"P_C_L_3_4","Carvacrol","Low","C_L_3",101087.6537478952,373032.555167248
"P_C_L_3_5","Carvacrol","Low","C_L_3",312240.513247048,295725.671843936
"P_C_L_3_6","Carvacrol","Low","C_L_3",121961.2760208512,864077.8003960201
"P_C_L_3_7","Carvacrol","Low","C_L_3",157051.6542876172,530796.248423176
"P_C_L_3_8","Carvacrol","Low","C_L_3",2983.5455337474,1640700.695782848
"P_C_L_4_1","Carvacrol","Low","C_L_4",340139.95721367403,188371.5051090028
"P_C_L_4_2","Carvacrol","Low","C_L_4",604712.563889744,520450.41631245404
"P_C_L_4_3","Carvacrol","Low","C_L_4",2133.8568432967,739344.008791834
"P_C_L_4_4","Carvacrol","Low","C_L_4",11709450.8149086,322401.51417086
"P_C_L_4_5","Carvacrol","Low","C_L_4",944.785776355312,462266.647742206
"P_C_L_4_6","Carvacrol","Low","C_L_4",1823684.120109968,345336.5741124
"P_C_L_4_7","Carvacrol","Low","C_L_4",34200.045869784204,293150.02514776
"P_C_L_5_4","Carvacrol","Low","C_L_5",32347.1814556716,294270.83870579797
"P_C_L_5_5","Carvacrol","Low","C_L_5",140619.360040217,329353.617698376
"P_C_L_5_6","Carvacrol","Low","C_L_5",250.63978770878,488196.497808706
"P_C_L_5_7","Carvacrol","Low","C_L_5",207.4267202262,202945.019878456
"P_C_L_5_8","Carvacrol","Low","C_L_5",800.40729679998606,1566691.702558212
"P_C_L_5_9","Carvacrol","Low","C_L_5",4270.86380026012,1370376.2634262939
"P_C_L_6_1","Carvacrol","Low","C_L_6",318.22010398040203,848240.2583967219
"P_C_L_6_2","Carvacrol","Low","C_L_6",101317.922584106,286070.12065061997
"P_C_L_6_3","Carvacrol","Low","C_L_6",214888.61750481,340737.619503482
"P_C_L_6_4","Carvacrol","Low","C_L_6",407502.88076614204,459148.83476287196
"P_C_L_6_5","Carvacrol","Low","C_L_6",8315587.32098878,537037.912525778
"P_C_L_6_6","Carvacrol","Low","C_L_6",94433.7825367194,979262.075725774
"P_C_L_6_7","Carvacrol","Low","C_L_6",1779503.140075468,1219506.222404642
"P_C_H_5_7","Carvacrol","High","C_H_5",1675.5900903895779,1597883.987630196
"P_C_H_1_5","Carvacrol","High","C_H_1",946259.5316973741,328149.43461741
"P_C_H_1_6","Carvacrol","High","C_H_1",76145.9244838834,312559.633209996
"P_C_H_1_7","Carvacrol","High","C_H_1",2975676.73362558,1253589.250027126
"P_C_H_1_8","Carvacrol","High","C_H_1",6316.07093625956,1216203.347160762
"P_C_H_1_9","Carvacrol","High","C_H_1",22152.681705379,382843.669222794
"P_C_H_1_10","Carvacrol","High","C_H_1",65.094479245114,907714.49867558
"P_C_H_1_11","Carvacrol","High","C_H_1",730.64037654923,1055753.215522536
"P_C_H_1_12","Carvacrol","High","C_H_1",139.7437753227992,687613.838022426
"P_C_H_2_13","Carvacrol","High","C_H_2",511.86532349462806,636507.589087254
"P_C_H_2_14","Carvacrol","High","C_H_2",109642.031666148,342318.75234481797
"P_C_L_2_12","Carvacrol","Low","C_L_2",600746.137426512,174266.3397415808
"P_C_H_3_8","Carvacrol","High","C_H_3",368.365623227634,1209402.3708255258
"P_C_H_3_9","Carvacrol","High","C_H_3",9714.07263172268,1440768.41975733
"P_C_H_3_10","Carvacrol","High","C_H_3",11187.0861862832,320028.67371781997
"P_C_H_3_11","Carvacrol","High","C_H_3",44647.4154889064,457004.41544929997
"P_C_H_3_12","Carvacrol","High","C_H_3",642.450991238314,833259.861664358
"P_C_H_3_14","Carvacrol","High","C_H_3",22644.971248376,656404.441951514
"P_C_H_4_5","Carvacrol","High","C_H_4",343.54160235122004,839410.89630251
"P_C_H_4_9","Carvacrol","High","C_H_4",8620.664166366341,939019.406384726
"P_C_H_4_11","Carvacrol","High","C_H_4",413.112235481916,1052861.720559044
"P_C_H_4_12","Carvacrol","High","C_H_4",591.053177628354,791952.845218288
"P_C_H_5_8","Carvacrol","High","C_H_5",154646.802265585,793260.8046156539
"P_C_H_4_6","Carvacrol","High","C_H_4",0,393344.648885268
"P_C_H_4_7","Carvacrol","High","C_H_4",348.89668912966204,504461.923195142
"P_C_H_4_8","Carvacrol","High","C_H_4",55667.942377718,586202.69531956
"P_C_H_5_9","Carvacrol","High","C_H_5",374.871311039022,518252.86866262404
"P_C_H_5_10","Carvacrol","High","C_H_5",520.431040320434,700455.1613739739
"P_C_H_5_11","Carvacrol","High","C_H_5",4980.08195793276,1497771.668147248
"P_C_H_5_12","Carvacrol","High","C_H_5",13865.97230652028,781159.62472955
"P_C_H_4_10","Carvacrol","High","C_H_4",4653.73566444484,798044.384251904
"P_C_H_6_9","Carvacrol","High","C_H_6",102723.0900139476,976458.04016077
"P_C_H_6_10","Carvacrol","High","C_H_6",13649.512549336061,72624.46540745761
"P_C_H_6_11","Carvacrol","High","C_H_6",1067.177003735984,4091250.3653396596
"P_C_H_6_12","Carvacrol","High","C_H_6",0,218565.00217970202
"P_C_H_6_13","Carvacrol","High","C_H_6",2779.06753083676,1355535.300180282
"P_C_H_6_14","Carvacrol","High","C_H_6",522.280595986052,336047.642049656
"P_N_L_1_3","Cinnamaldehyde","Low","N_L_1",1015130.5755719821,842859.0020784581
