Bee_ID,Colony,Label,Parasite,Compound,Conc,Rep,Number,Incubator,Inoc_date,Dead_before,End_date,Comment,Exclude,Date_consump,Start_mass,End_mass,Exclude_consumption,Consump_note,Date_cons_2,Start_mass_2,End_mass_2,Exclude_consumption_2,Consump_2_note,Date_cons_3,Start_mass_3,End_mass_3,Exclude_cons_3,Note_cons_3,Date_cons_4,Start_mass_4,End_mass_4,Exclude_cons_4,Note_cons_4
P_C_H_5_10,BRL,C-H-5-10,P,C,H,5,10,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_3_8,BRL,C-H-3-8,P,C,H,3,8,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_3_12,BRL,C-H-3-12,P,C,H,3,12,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_5_8,BRL,C-H-5-8,P,C,H,5,8,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_5_7,BRL,C-H-5-7,P,C,H,5,7,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_2_13,BRL,C-H-2-13,P,C,H,2,13,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_4_12,BRL,C-H-4-12,P,C,H,4,12,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_5_9,BRL,C-H-5-9,P,C,H,5,9,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_1_10,BRL,C-H-1-10,P,C,H,1,10,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_3_9,BRL,C-H-3-9,P,C,H,3,9,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_4_11,BRL,C-H-4-11,P,C,H,4,11,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_1_8,BRL,C-H-1-8,P,C,H,1,8,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_5_11,BRL,C-H-5-11,P,C,H,5,11,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_1_7,BRL,C-H-1-7,P,C,H,1,7,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_1_12,BRL,C-H-1-12,P,C,H,1,12,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_1_11,BRL,C-H-1-11,P,C,H,1,11,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_4_5,BRL,C-H-4-5,P,C,H,4,5,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_4_9,BRL,C-H-4-9,P,C,H,4,9,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_6_13,BRL,C-H-6-13,P,C,H,6,13,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_H_4_10,BRL,C-H-4-10,P,C,H,4,10,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_2_10,BRL,C-L-2-10,P,C,L,2,10,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_3_8,BRL,C-L-3-8,P,C,L,3,8,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_5_6,BRL,C-L-5-6,P,C,L,5,6,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_3_7,BRL,C-L-3-7,P,C,L,3,7,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_6_5,BRL,C-L-6-5,P,C,L,6,5,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_3_3,BRL,C-L-3-3,P,C,L,3,3,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P_C_L_6_4,BRL,C-L-6-4,P,C,L,6,4,NA,NA,0,2020/09/30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
